지점,지점명,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%),기사란
110,김포공항,2023-08-05,4,11,15,1714,1719,280,290,,34.8,24.6,1350,350,1001.6,1003.6,999.3,,,,,,,,1.8,20000,24.4,77,
110,김포공항,2023-08-06,3.7,10,15,1511,1618,310,50,10,35.3,25.4,1420,442,999.1,1000.6,997.2,,,,,,,,4.5,15000,25.4,79,{박무}600-800.
110,김포공항,2023-08-07,5.8,12,20,1713,2031,360,190,,35.9,26.6,1536,559,999.9,1001.7,998.4,0,0,,0,0,,,4.4,3000,24.7,72,{소낙성비}1733-1900. {비}2027-2100.
110,김포공항,2023-08-08,6.5,12,17,24,20,80,80,,36.1,25.2,1355,545,1002.8,1004.3,1001.7,,,,,,,,2.5,9000,23.1,64,
110,김포공항,2023-08-09,7.2,12,15,2348,2356,100,100,,33,25.8,1049,555,1004.5,1005.6,1003.2,0,0,,0,0,,,5.6,8000,22.7,70,{비}2249-2315.
110,김포공항,2023-08-10,9.9,19,30,1720,1739,320,320,65,26.6,21,1,1556,997.7,1004,993.3,85.3,19.1,1646,10.3,4.3,,,8,3000,21.5,94,{비}100-2400. {박무}800-900. {박무}1138-2400.
110,김포공항,2023-08-11,6.2,19,30,2117,835,140,230,63,26.3,22,1605,231,999.2,1003.4,994,32.8,6.6,504,4.3,2.4,,,8,2000,22.2,91,{박무}0-100. {비}0-2400. {박무}200-1200. {박무}1300-1400.
110,김포공항,2023-08-12,5.6,10,18,802,754,180,190,61,26.3,22.4,1726,48,1004.3,1005.8,1002.7,5.9,3.9,1,3.3,2.7,,,6.5,2000,22.1,91,{비}0-1040.
110,김포공항,2023-08-13,4.3,8,13,916,1144,100,140,10,32.4,23.1,1339,1,1005.2,1006.3,1004.1,,,,,,,,5.7,2500,22.6,77,{박무}2200-2400.
110,김포공항,2023-08-14,3.7,12,17,1555,1555,290,290,10,34.5,22.7,1340,546,1006.4,1007.5,1005.4,,,,,,,,1.6,,23.7,80,{박무}0-1000.
110,김포공항,2023-08-15,4.3,10,14,1445,852,330,70,10,32.9,23.1,1254,557,1005.6,1007.7,1003.6,,,,,,,,4.6,20000,23.7,81,{박무}200-500.
110,김포공항,2023-08-16,4.5,11,15,1555,1629,280,280,,32.5,22.9,1254,412,1004.6,1005.8,1003.1,,,,,,,,3.7,7000,23,80,
110,김포공항,2023-08-17,3.7,9,15,1430,954,260,150,10,33.3,23,1215,540,1005.5,1007,1004.3,,,,,,,,2.5,,22.9,77,{박무}600-800.
110,김포공항,2023-08-18,3.9,10,15,1608,1026,280,190,10,33.9,23.7,1259,347,1007.2,1009.1,1006.3,,,,,,,,2.8,8000,23.5,77,{박무}300-400. {박무}500-1000.
110,김포공항,2023-08-19,4.3,11,16,1503,1537,300,280,,34.5,24.4,1320,616,1010.4,1012.1,1009.1,,,,,,,,2,8000,23.3,76,
110,김포공항,2023-08-20,3.3,8,14,1407,1514,290,310,10,32.6,23.4,1437,503,1011.8,1013.1,1010.5,0,0,,0,0,,,4.8,5000,23.8,82,{박무}800-1100. {비}941-1000.
110,김포공항,2023-08-21,5.3,13,23,1519,1259,200,150,10,33.7,24.9,1422,555,1008.1,1011.4,1005.9,0,0,,0,0,,,5.5,3000,24.1,76,{박무}200-300. {비}325-400. {비}428-500. {비}1835-1850.
110,김포공항,2023-08-22,6.9,15,25,1349,1414,210,220,63,32.7,25.6,1357,843,1004.5,1006.6,1002.8,18.1,9.3,2108,7.9,4.4,,,7.3,2500,24.7,83,{비}414-429. {비}800-1115. {박무}1115-1200. {비}1428-1600. {}2047-2100. {비}2100-2300. {}2102-2130.
110,김포공항,2023-08-23,5.8,12,18,1821,737,90,170,65,26.4,23.2,807,1258,1005.8,1007.8,1004.3,61.4,20.2,1158,14.1,7.9,,,7.7,2500,23.8,94,{비}100-135. {비}243-300. {비}350-430. {비}520-627. {비}832-1636. {박무}900-1636. {박무}1834-1900. {비}1834-2027.
110,김포공항,2023-08-24,5.2,11,16,1331,1309,100,90,63,29.5,22.2,1346,602,1006.8,1007.9,1005.6,10.9,4,405,2.6,1.1,,,7.2,2000,22.9,87,{비}100-133. {비}400-811.
110,김포공항,2023-08-25,5.7,13,19,1207,1200,270,250,,30.5,23.8,1451,122,1008.1,1010.2,1006.2,,,,,,,,3.3,2000,22.8,81,
110,김포공항,2023-08-26,4.6,11,15,1430,1424,280,280,10,31.2,21.5,1316,551,1010.2,1011.3,1009.1,,,,,,,,3.7,20000,21.5,79,{박무}100-1000.
110,김포공항,2023-08-27,4.2,10,12,1601,1553,330,320,10,29.9,21.7,1552,444,1009.3,1010.4,1008.2,0,0,,0,0,,,6.4,8000,22.3,82,{박무}300-800. {비}1900-2400.
110,김포공항,2023-08-28,7.3,16,21,2118,2111,110,110,65,26,21.2,2351,803,1007.9,1010.4,1005,22.5,10.8,127,9,3.5,,,8,3000,21,88,{비}0-1500. {박무}600-1200. {비}1652-1820. {비}1920-2400.
110,김포공항,2023-08-29,6.2,15,21,845,152,130,140,65,26.6,21.9,153,2357,1005.7,1009.3,1003.6,42.3,28.5,1015,18.5,9.4,,,7.8,2000,22.5,91,{비}0-1346. {비}1508-2000.
110,김포공항,2023-08-30,3.1,9,12,1523,1523,280,280,10,26.5,21.1,1150,2351,1009.9,1010.9,1009.1,0,0,,0,0,,,7.1,2000,20.9,88,{박무}500-1100. {비}515-528. {비}1253-1400. {비}1427-1456. {비}1520-1539. {비}1614-1712. {비}2028-2215. {박무}2100-2400.
110,김포공항,2023-08-31,4.1,9,12,1547,1542,320,320,10,30,20.2,1522,2400,1011.4,1012.7,1010.4,,,,,,,,4.9,2500,19.5,79,{박무}0-1000.
110,김포공항,2023-09-01,4.3,11,16,1554,1359,340,350,41,30,18.3,1435,514,1012.9,1014,1011.7,,,,,,,,0.7,,18.5,76,{박무}400-600. {안개 또는 어는안개 또는 빙무}600-700. {박무}700-800.
110,김포공항,2023-09-02,3.5,8,11,1632,1310,320,10,10,31,17.9,1530,611,1012.5,1013.7,1010.9,,,,,,,,2.6,20000,19.4,76,{박무}300-500.
110,김포공항,2023-09-03,4.9,11,13,602,614,120,120,10,29.8,22.2,1358,1,1012.8,1014,1011.6,,,,,,,,7.2,3000,22.1,79,{박무}800-1300. {연무}1300-1700.
110,김포공항,2023-09-04,3.9,14,17,140,138,60,50,97,31.1,23.6,1546,546,1012.9,1014.2,1011.9,25.4,12.4,104,11.1,9.2,,,7,3000,23.8,86,{비}37-300. {}144-200. {비}342-414. {뇌전과 강한비 뇌전과 강한눈 뇌전과 강한진눈깨비}414-426. {뇌전과 비 또는 뇌전과 눈 또는 뇌전과 진눈깨비}426-450. {}450-500. {비}450-600.
110,김포공항,2023-09-05,4.1,9,18,1734,2107,320,260,,33.3,24.1,1412,535,1012.2,1013.9,1010.5,,,,,,,,4,15000,23.6,80,
110,김포공항,2023-09-06,5.2,10,16,2048,2227,70,80,10,32.6,22.3,1638,537,1012.4,1014.8,1011.2,,,,,,,,1,,21.2,71,{박무}300-700.
110,김포공항,2023-09-07,5.4,12,17,1006,2202,90,80,,32.2,19,1350,529,1015.4,1017,1014.1,,,,,,,,0,,16.6,58,
110,김포공항,2023-09-08,4.3,10,13,1701,1439,320,350,,30.6,18.3,1348,554,1014.1,1016.1,1011.9,,,,,,,,0,,17.1,65,
110,김포공항,2023-09-09,3.5,10,15,1642,1743,270,290,10,31.1,19.8,1404,551,1011.8,1013.1,1010.1,,,,,,,,2.3,15000,20,76,{박무}500-1200.
110,김포공항,2023-09-10,3.6,10,14,1450,1533,270,270,,31.1,19.9,1408,400,1010.9,1012.2,1009.6,,,,,,,,3.9,20000,19.9,77,
110,김포공항,2023-09-11,3.7,10,13,1631,1445,280,260,,30.4,21.4,1340,24,1010.2,1011.9,1008.7,,,,,,,,4,4500,19.9,76,
110,김포공항,2023-09-12,3.6,9,15,1708,1601,260,270,10,30.4,19.9,1409,521,1011.5,1012.6,1009.9,,,,,,,,4.9,20000,20.4,78,{박무}600-800.
110,김포공항,2023-09-13,4.3,10,15,838,1957,130,80,61,25.3,19.5,958,2307,1012.7,1013.9,1011.6,11.6,2.2,1645,1.2,0.5,,,7.7,3000,20.6,91,{박무}600-831. {비}700-831. {비}900-2144. {박무}1000-2100. {비}2347-2400.
110,김포공항,2023-09-14,5.9,12,18,1148,1147,90,100,,28.2,18,1150,632,1013.7,1015.9,1011.8,0,0,,0,0,,,5.7,8000,18.5,76,{비}0-14.
110,김포공항,2023-09-15,5.8,11,16,858,857,100,100,,25.3,20.7,1605,725,1014.6,1016.2,1012.9,1.4,0.6,700,0.6,0.4,,,7.7,2000,19.5,81,{비}225-320. {비}420-429. {비}515-612. {비}700-1400. {비}1445-1522. {비}2237-2400.
110,김포공항,2023-09-16,3.2,8,15,2139,2140,210,180,65,28.5,21.8,1213,2334,1012.6,1014.1,1010.5,24.5,18.8,2105,16.2,11.1,,,7.7,2000,22.2,91,{비}0-116. {비}1636-1916. {박무}1800-2400. {비}1937-2400.
110,김포공항,2023-09-17,3.2,7,13,1344,1249,300,240,10,29,21.4,1452,449,1011.1,1012.3,1009.6,1.3,0.8,1229,0.6,0.5,,,6,3000,22.2,89,{비}0-100. {박무}0-100. {박무}300-1100. {소낙성비}1204-1400. {박무}2400-2400.
110,김포공항,2023-09-18,4.5,10,15,1257,1241,250,270,10,29.7,20.5,1517,2350,1013,1014.5,1011.9,,,,,,,,2.5,3000,21.3,84,{박무}0-800.
110,김포공항,2023-09-19,4.2,9,15,1618,1116,260,200,10,28.6,19.9,1257,110,1014.8,1015.7,1013.7,,,,,,,,5.5,2500,21.2,86,{박무}300-1200. {박무}2100-2400.
110,김포공항,2023-09-20,5.5,12,19,2204,2301,10,10,65,23.2,19.4,15,2321,1011.9,1015.2,1008.6,25.6,7.2,1432,4.9,2,,,7.7,2000,19.8,93,{박무}0-1434. {비}238-2000. {안개 또는 어는안개 또는 빙무}1434-1500. {박무}1500-1900.
110,김포공항,2023-09-21,6.2,12,18,1,4,10,10,,23.7,15.6,1427,2349,1012.4,1015.7,1009.4,,,,,,,,6.1,5000,14.9,75,
110,김포공항,2023-09-22,3.1,8,12,1337,1257,300,320,10,26.9,13.7,1517,351,1016.8,1018.6,1015.3,,,,,,,,1.1,20000,14.2,75,{박무}400-500.
110,김포공항,2023-09-23,5.1,11,16,1113,1933,90,60,,28.2,15.7,1401,619,1020.4,1022.6,1018.1,,,,,,,,2.2,20000,14.8,68,
110,김포공항,2023-09-24,6.8,13,17,2336,2255,100,110,,26.1,15.1,1453,558,1020.8,1023,1018.5,,,,,,,,3.8,13000,12.8,60,
110,김포공항,2023-09-25,4.5,10,13,1,1,100,100,,26.4,17.7,1309,443,1017.3,1019.4,1015.2,1.7,0.5,313,0.4,0.3,,,7.3,4000,15.6,71,{비}106-548. {비}1800-1829. {비}2006-2400.
110,김포공항,2023-09-26,5.2,9,13,56,620,130,110,63,21.4,18.3,1232,248,1013.6,1016,1012,20.5,6.3,208,4,1.8,,,8,500,19.5,97,{비}0-2200. {비}2231-2400.
110,김포공항,2023-09-27,3.5,7,15,523,1556,350,270,61,24.6,19.6,1402,721,1012.1,1013.2,1010.9,4.1,1,310,0.6,0.3,,,7,300,20,92,{비}0-1041. {박무}1041-1200.
110,김포공항,2023-09-28,4.2,11,16,1328,1333,270,270,10,27,17.2,1311,635,1014.3,1015.8,1012.5,,,,,,,,3,14000,18.7,83,{박무}400-1200. {연무}1200-1900. {박무}1900-2400.
110,김포공항,2023-09-29,3,11,14,1549,1603,250,270,10,27.4,16.4,1419,624,1015,1017.5,1012.7,,,,,,,,5.4,17000,14.1,70,{박무}0-300.
110,김포공항,2023-09-30,6.3,13,20,1534,1511,240,210,63,24.1,15.5,1530,2355,1011.7,1013.5,1009.5,1.8,1.4,1126,1.4,1.3,,,5,2000,16,81,{비}100-342. {비}1003-1242. {비}1325-1400.
110,김포공항,2023-10-01,5.5,13,21,1620,1409,270,320,,24.4,11.8,1437,636,1015.3,1018.1,1012.3,,,,,,,,0.2,,10.4,67,
110,김포공항,2023-10-02,3.7,11,15,1303,1207,310,360,,24.9,9.7,1539,544,1018.9,1021,1017.6,,,,,,,,1.7,20000,9.4,67,
110,김포공항,2023-10-03,3.5,10,12,1048,1055,110,120,,23.6,12,1611,101,1018.3,1020.1,1016.9,,,,,,,,3.9,12000,11.8,73,
110,김포공항,2023-10-04,5,15,22,2326,2322,310,320,41,24.3,12.3,1244,546,1015,1017.4,1011.8,45.6,45.6,1627,32.9,14,,,4.5,2500,13.6,83,{안개 또는 어는안개 또는 빙무}600-700. {비}1600-1639. {}1625-1635. {뇌전과 강한비 뇌전과 강한눈 뇌전과 강한진눈깨비}1639-1648. {비}1648-1800. {}1700-1708. {박무}1800-2000.
110,김포공항,2023-10-05,8.1,14,20,323,321,320,320,,19.3,9.5,1522,629,1017.8,1019.3,1016.1,,,,,,,,1.2,20000,3,48,
110,김포공항,2023-10-06,3.5,9,13,1418,1415,310,310,,21.4,7.7,1516,631,1020,1021.6,1018.1,,,,,,,,4.4,20000,7.2,65,
110,김포공항,2023-10-07,5.7,11,16,1040,1033,90,100,,22.1,10,1545,505,1022.7,1024.5,1021,,,,,,,,6.1,19000,9.5,66,
110,김포공항,2023-10-08,4.9,10,14,1533,1025,100,80,,20.1,12.7,1457,608,1023.8,1025,1022.5,0,0,,0,0,,,6.8,8000,11.6,70,{비}1400-1443.
110,김포공항,2023-10-09,4.5,12,17,1939,1614,310,270,,23,12.3,1527,2359,1020.7,1023.1,1018.6,0.4,0.3,712,0.3,0.2,,,5.2,7000,11.6,72,{비}712-833. {비}1023-1100. {}2040-2100. {비}2040-2115.
110,김포공항,2023-10-10,3,8,11,919,1010,10,350,10,23.5,9.9,1455,641,1021.8,1023.6,1020.6,,,,,,,,0.4,,12,80,{박무}300-1100. {연무}1100-1300.
110,김포공항,2023-10-11,2.9,7,12,923,1152,120,140,10,23.7,10.5,1549,623,1025,1026.7,1023.6,,,,,,,,1.3,,10.7,73,{박무}400-500.
110,김포공항,2023-10-12,3,7,11,1648,1332,270,340,,23.8,9.9,1346,636,1025.1,1027.7,1023,,,,,,,,1.6,20000,11,72,
110,김포공항,2023-10-13,2.6,7,12,1520,1520,270,260,10,22.4,11.7,1439,2359,1018.6,1023.3,1014.5,,,,,,,,6.3,15000,12.4,78,{박무}600-700. {박무}800-1000. {연무}1000-1300. {연무}1400-1700.
110,김포공항,2023-10-14,3.3,13,15,757,750,130,140,41,19.7,10.7,1544,2303,1011,1014.5,1008.5,4,2.7,1107,2,1.4,,,4.4,2500,12.3,89,{박무}400-1010. {비}700-900. {비}920-942. {비}1010-1300. {박무}1100-1400. {박무}2100-2400. {안개 또는 어는안개 또는 빙무}2400-2400.
110,김포공항,2023-10-15,5,12,21,1414,1611,260,270,46,22,9,1355,258,1011.2,1012.6,1009.9,,,,,,,,1.4,,12.5,83,{안개 또는 어는안개 또는 빙무}0-346. {안개 또는 어는안개 또는 빙무}{6}346-400. {안개 또는 어는안개 또는 빙무}{4}400-500. {안개 또는 어는안개 또는 빙무}{2}500-600. {안개 또는 어는안개 또는 빙무}{1}600-700. {안개 또는 어는안개 또는 빙무}{2}700-900. {안개 또는 어는안개 또는 빙무}{4}900-910. {안개 또는 어는안개 또는 빙무}{8}910-913. {안개 또는 어는안개 또는 빙무}{9}913-920. {박무}920-1100.
110,김포공항,2023-10-16,4.2,9,14,9,1550,300,260,,19.5,6.9,1357,2356,1015.8,1018.2,1012.6,,,,,,,,0.3,,6.1,63,
110,김포공항,2023-10-17,2.8,7,14,1500,1642,240,260,,21.3,4.5,1517,558,1019.8,1021.4,1018.2,,,,,,,,0,,5,67,
110,김포공항,2023-10-18,4.5,11,22,1454,1423,240,240,,21.7,6.4,1403,348,1019.8,1021.9,1017.9,,,,,,,,3.3,2500,10.1,76,
110,김포공항,2023-10-19,4.7,9,15,540,531,190,190,63,20.4,14.7,1336,2344,1015.6,1018.4,1013.9,9.2,9.2,637,8.6,5.4,,,7.3,2500,13.8,83,{비}625-800. {박무}800-819. {비}819-900. {박무}900-1500. {연무}1500-1700.
110,김포공항,2023-10-20,9.3,18,29,928,924,300,290,,16.4,5.7,1359,2322,1018,1021.4,1015.2,,,,,,,,1.9,9000,1.1,49,
110,김포공항,2023-10-21,6.2,14,23,1419,746,290,340,60,17.8,2.7,1410,258,1021,1023.5,1018.4,1.3,1.3,739,1.3,0.9,,,1.2,9000,1.5,59,{비}739-824.
110,김포공항,2023-10-22,3.9,10,18,1610,1449,230,230,,19,2.4,1433,620,1023.5,1024.9,1021.9,,,,,,,,3.2,20000,6.3,73,
110,김포공항,2023-10-23,4.3,10,14,1435,1432,230,230,10,21.9,8.6,1340,644,1022.9,1024.8,1021.4,,,,,,,,1.9,,10.5,80,{박무}500-1000. {박무}2400-2400.
110,김포공항,2023-10-24,5.2,9,17,1135,1434,160,220,10,20.7,10.2,1240,415,1020.5,1022.1,1018.5,,,,,,,,4.7,2000,12.1,84,{박무}0-1200. {박무}1900-2400.
110,김포공항,2023-10-25,3.2,8,12,1628,1441,280,270,41,22.2,8.9,1445,650,1018.5,1020.1,1016.8,,,,,,,,1.5,,12,84,{박무}0-600. {안개 또는 어는안개 또는 빙무}600-635. {박무}635-700. {안개 또는 어는안개 또는 빙무}700-800. {박무}800-1100. {박무}2100-2400.
110,김포공항,2023-10-26,5.7,14,21,1418,1741,220,200,10,22,11.9,1241,1,1014.9,1017.8,1011.9,0,0,,0,0,,,6.6,1400,15.1,87,{박무}0-1200. {연무}1200-1700. {박무}1700-2400. {비}1716-1800. {뇌전과 비 또는 뇌전과 눈 또는 뇌전과 진눈깨비}1800-1832. {비}1832-1929. {}1909-1929.
110,김포공항,2023-10-27,4.7,9,12,212,210,290,290,10,20.5,8.9,1331,2352,1015.1,1017.8,1012.6,,,,,,,,3.2,2500,9.4,71,{박무}0-300.
110,김포공항,2023-10-28,2.7,7,12,1404,1439,340,340,10,20.6,6.2,1424,654,1018.9,1021,1017.5,,,,,,,,0,,7.2,74,{박무}500-1100.
110,김포공항,2023-10-29,3.2,7,11,1529,1529,290,290,10,21.8,6.7,1427,716,1021.9,1023.2,1020.5,,,,,,,,0,,7.7,75,{박무}200-300. {박무}600-800. {박무}2400-2400.
110,김포공항,2023-10-30,2.5,8,15,1429,1422,290,290,41,21.7,6.7,1353,656,1022.9,1024,1021.6,,,,,,,,0.3,,9.9,83,{박무}0-900. {박무}2000-2300. {안개 또는 어는안개 또는 빙무}2300-2400.
110,김포공항,2023-10-31,4.3,10,19,1454,1447,220,220,46,20.1,7.8,1327,414,1022.1,1024.1,1019.8,,,,,,,,3.9,1100,11.9,84,{안개 또는 어는안개 또는 빙무}0-200. {안개 또는 어는안개 또는 빙무}{8}200-216. {안개 또는 어는안개 또는 빙무}{4}216-300. {안개 또는 어는안개 또는 빙무}{8}300-338. {안개 또는 어는안개 또는 빙무}338-700. {박무}700-1200. {연무}1200-1500. {박무}2000-2400.
110,김포공항,2023-11-01,7.3,13,19,1431,1401,210,200,61,21.5,16,1438,322,1017.6,1020.2,1015.8,0,,,,,,,6.9,1300,16.3,85,{박무}0-2400. {비}545-721.
110,김포공항,2023-11-02,8.3,15,25,1419,1431,210,210,10,25.7,17.9,1354,2145,1016.5,1018.1,1014.8,,,,,,,,3.1,2500,15.5,75,{박무}0-900.
110,김포공항,2023-11-03,7,13,22,1252,1436,230,230,61,22.5,15.1,1330,2400,1015.3,1017.6,1013.8,1.8,,,,,,,6.7,2000,16.6,86,{비}810-925. {비}1634-1850. {박무}1850-2245.
110,김포공항,2023-11-04,5.3,10,14,1940,1920,100,100,,21.8,11.2,1418,628,1020.6,1022.9,1017.5,,,,,,,,6.1,9000,12.3,76,
110,김포공항,2023-11-05,9.4,23,30,2257,2249,130,140,63,20.1,15.1,1921,635,1016.4,1022.6,1004.8,13.1,,,,,,,7.2,2500,15,84,{비}547-737. {비}919-1311. {비}1400-1636. {비}1800-2400. {박무}2000-2400.
110,김포공항,2023-11-06,14.7,25,40,822,820,260,260,65,20.4,6.5,331,2136,1006.8,1014.5,999.2,36.7,,,,,,,7.3,2500,11.2,83,{비}0-430. {박무}0-430. {비}531-921. {비}1032-1400. {비}1425-1617. {비}1800-1900. {비}2000-2400.
110,김포공항,2023-11-07,7.5,20,31,46,38,280,280,,9.1,1.9,1447,2355,1022.2,1025.4,1014.3,0,,,,,,,2,2500,-0.5,65,{비}0-200.
110,김포공항,2023-11-08,2.9,7,10,904,1125,130,110,,15.2,0.7,1529,429,1023.2,1025,1021.3,,,,,,,,2.1,18000,0.5,67,
110,김포공항,2023-11-09,6.4,15,23,1615,1609,260,260,63,18.7,3.1,1416,641,1020.2,1022.3,1016.3,10,,,,,,,4.1,2500,7.2,80,{비}1532-1717. {박무}1717-1800. {박무}2000-2100.
110,김포공항,2023-11-10,11.6,16,22,126,100,320,330,,7.9,-0.8,1,2345,1027.3,1030.8,1022.1,,,,,,,,1,20000,-5.3,55,
110,김포공항,2023-11-11,5.6,11,17,1217,2235,340,310,,6.1,-2.2,1503,320,1030,1031.8,1028.2,,,,,,,,1.6,9000,-7.7,53,
110,김포공항,2023-11-12,5.3,12,17,941,955,320,340,,5.2,-4.1,1335,545,1028.6,1030.1,1026.6,,,,,,,,0.1,,-5.9,63,
110,김포공항,2023-11-13,4.4,10,13,1423,1219,320,290,,7.3,-4.2,1447,714,1029.1,1030.9,1027.9,,,,,,,,0,,-5.9,61,
110,김포공항,2023-11-14,2.5,8,11,1559,1359,280,360,10,11.3,-3,1411,421,1027.6,1029.4,1025.8,,,,,,,,0.9,,-0.6,76,{박무}2300-2400.
110,김포공항,2023-11-15,2.3,8,15,1420,1446,310,300,41,12.3,-1.6,1527,623,1028.5,1030.1,1026.9,,,,,,,,4.2,4500,2,80,{박무}0-438. {안개 또는 어는안개 또는 빙무}438-800. {박무}800-1000. {연무}1900-2300. {박무}2300-2400.
110,김포공항,2023-11-16,4.8,12,20,1519,1519,250,250,60,8.3,4.4,810,2053,1020.2,1027.3,1016.1,9.3,,,,,,,7.3,2000,4.9,89,{박무}0-2400. {비}845-1935. {비}2349-2400.
110,김포공항,2023-11-17,7.7,18,25,50,51,310,310,71,6.3,-2.8,940,707,1015.1,1017.2,1012.9,0.4,,,,,,,3.1,2500,-4.3,65,{비}0-47. {박무}0-100. {눈}1119-1146. {박무}1146-1300. {눈}1246-1321.
110,김포공항,2023-11-18,9.7,24,33,206,153,320,320,,6.1,-3.7,1352,428,1019.1,1021.4,1014.5,,,,,,,,0,,-6.5,59,
110,김포공항,2023-11-19,6.5,16,23,1310,1303,280,280,10,15.2,-2.7,1302,145,1018.1,1021.2,1014.6,,,,,,,,2.8,3500,1,73,{연무}1600-1800. {박무}1800-1900.
110,김포공항,2023-11-20,2.5,7,10,1656,1525,270,290,,12.6,-2.6,1458,708,1024.1,1025.7,1021.1,,,,,,,,0,,-1.7,71,
110,김포공항,2023-11-21,2.3,7,13,1542,1604,230,250,10,14.5,-2.7,1503,613,1022.5,1024.8,1020.2,,,,,,,,0,,0.1,76,{박무}600-900. {박무}2200-2400.
110,김포공항,2023-11-22,3.7,12,14,2118,2119,150,150,41,14.6,-1.5,1348,555,1017.2,1021,1012.4,,,,,,,,4,2500,3.8,78,{박무}0-300. {안개 또는 어는안개 또는 빙무}300-600. {박무}600-1000.
110,김포공항,2023-11-23,8.1,19,26,1831,1731,300,310,10,15,0.9,1253,2347,1014.4,1021.9,1011.4,0.9,,,,,,,4.4,2000,5.6,76,{비}122-300. {박무}300-316. {비}316-345. {박무}345-1200. {연무}1200-1700.
110,김포공항,2023-11-24,10.4,14,21,40,859,290,300,,2.8,-4.3,1250,2204,1029.6,1034.6,1021.9,,,,,,,,0.4,,-9.9,52,
110,김포공항,2023-11-25,3.6,11,14,1,5,340,340,,2.9,-7.3,1421,517,1033.8,1036.4,1031.3,,,,,,,,0.9,7500,-12,51,
110,김포공항,2023-11-26,2.8,6,10,1012,1007,160,180,,8.3,-0.4,1332,2,1025.8,1031.6,1019.4,0,,,,,,,7.2,4000,-6.2,49,{비}2213-2400.
110,김포공항,2023-11-27,6.7,14,21,1934,2007,290,290,61,10.9,4.7,1448,221,1014.9,1019.7,1012.5,3.9,,,,,,,6.4,2000,3.8,83,{비}0-1132. {박무}900-2300. {박무}2400-2400.
110,김포공항,2023-11-28,7.6,15,21,1329,1255,270,260,10,4.9,-3.2,1,600,1022.1,1026,1016.4,,,,,,,,2.4,3500,-5.8,62,{박무}0-700.
110,김포공항,2023-11-29,6.1,14,22,1532,2055,320,290,,3.7,-5,1359,535,1026.2,1030.2,1023,0,,,,,,,3.8,2500,-7.7,63,{눈}1219-1528. {눈}1536-1700.
110,김포공항,2023-11-30,7.9,15,20,451,446,330,330,,0.4,-7.5,1450,720,1030,1032.1,1028.3,,,,,,,,0.1,,-13.6,49,
110,김포공항,2023-12-01,4.6,12,16,1043,1025,330,330,,1.1,-8.6,1502,629,1027.5,1028.7,1026.5,,,,,,,,0.1,,-10.8,61,
110,김포공항,2023-12-02,7,17,22,2218,2212,320,330,10,8.4,-7,1423,212,1025.4,1027.8,1022.6,0,,,,,,,3.9,2500,-4,68,{이슬비}1255-1317. {비}2000-2125. {박무}2125-2200.
110,김포공항,2023-12-03,3.5,10,13,54,1109,300,330,10,6.4,-6.2,1457,731,1027.5,1029.3,1025.9,,,,,,,,0,,-6.9,63,{박무}2300-2400.
110,김포공항,2023-12-04,3.1,6,11,1204,1207,110,130,10,9.1,-6.3,1429,539,1022.9,1027.3,1019.9,,,,,,,,2.4,3500,-3.9,70,{박무}0-100. {박무}400-800.
110,김포공항,2023-12-05,4,9,12,823,727,130,120,10,12.4,-0.6,1531,2356,1018.1,1020.5,1016.1,,,,,,,,4.8,3500,-2,57,{박무}2300-2400.
110,김포공항,2023-12-06,5.6,16,24,2009,2005,300,300,10,9.8,0.2,1214,102,1010.7,1016.4,1005,2.4,,,,,,,5.3,2000,2.5,80,{박무}0-2400. {비}1253-1409. {비}1550-1606. {}1550-1606. {뇌전과 비 또는 뇌전과 눈 또는 뇌전과 진눈깨비}1606-1700.
110,김포공항,2023-12-07,7.1,16,26,1303,1310,220,250,,12.4,-3.8,1352,644,1015.1,1016.3,1011.4,,,,,,,,1.1,18000,0,67,
110,김포공항,2023-12-08,9.7,20,31,1621,1357,200,200,10,17.3,2.1,1305,320,1013.5,1015.9,1011,,,,,,,,1.2,,6.3,76,{박무}2100-2400.
110,김포공항,2023-12-09,4.6,8,13,43,1144,160,220,10,16.6,8.4,1441,2302,1017.8,1021.8,1013.8,,,,,,,,5.9,2500,10.3,86,{박무}0-2400.
110,김포공항,2023-12-10,5.1,8,11,556,1553,330,320,,14.3,2.1,1444,755,1023.6,1026.1,1021.8,,,,,,,,3.8,3000,0.9,61,{박무}0-100.
110,김포공항,2023-12-11,7.1,15,25,1601,1447,70,70,61,11.4,4.6,1126,2211,1018.4,1023.5,1013.2,14.8,,,,,,,8,2500,6.5,89,{비}22-2400.
110,김포공항,2023-12-12,6.4,11,15,524,12,360,360,,9.3,0.2,1508,2353,1021.9,1027.2,1016.2,0,,,,,,,3.9,4000,1.3,82,{비}0-6. {비}28-108. {비}200-500. {비}716-800.
