ISSUE_HW_DAY_2019-05_2019-05_2021
일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2019-05-07,김해시(253),X,21.9,23.2,15.8,9.8,52.4,X, ,X,낮음
2019-05-07,순창군(254),X,18.8,21.3,11.9,2,48.5,X, ,X,낮음
2019-05-07,양산시(257),X,21.3,23.2,14.8,7.8,56.3,X, ,X,낮음
2019-05-07,강진군(259),X,19.7,22.4,13.4,3.9,45.5,X, ,X,낮음
2019-05-07,장흥(260),X,19.9,22.7,12.8,1.2,52.4,X, ,X,낮음
2019-05-07,해남(261),X,19.6,21.6,10.9,-0.6,56.9,X, ,X,낮음
2019-05-07,고흥(262),X,19.2,21.4,12.6,4,54.4,X, ,X,낮음
2019-05-07,의령군(263),X,21.2,23.2,14.4,6.4,60,X, ,X,낮음
2019-05-07,함양군(264),X,19.9,22.7,12.6,1.6,53,X, ,X,낮음
2019-05-07,진도군ASOS(268),X,18.9,19.7,12,4.2,60.8,X, ,X,낮음
2019-05-07,봉화(271),X,17.8,20.7,11.9,0.3,45.5,X, ,X,낮음
2019-05-07,영주(272),X,18.1,20.8,13.1,2.1,44.5,X, ,X,낮음
2019-05-07,문경(273),X,19.7,22.3,13.7,3.5,46.6,X, ,X,낮음
2019-05-07,청송군(276),X,19.8,21.2,11.6,1.9,62,X, ,X,낮음
2019-05-07,영덕(277),X,20.5,22.4,14.5,4.6,46.6,X, ,X,낮음
2019-05-07,의성(278),X,20,23.6,12.9,2.5,48.5,X, ,X,낮음
2019-05-07,구미(279),X,19.9,22.7,15,6.3,48.1,X, ,X,낮음
2019-05-07,영천(281),X,19.8,23.2,13.8,4.1,48.9,X, ,X,낮음
2019-05-07,경주시(283),X,20.8,22.9,14.4,4.9,55.9,X, ,X,낮음
2019-05-07,거창(284),X,19.2,21.6,12.4,2.1,47,X, ,X,낮음
2019-05-07,합천(285),X,20.1,23.1,14.8,6.3,49.1,X, ,X,낮음
2019-05-07,밀양(288),X,19.5,22.6,15.1,7.7,47.6,X, ,X,낮음
2019-05-07,산청(289),X,20.4,23.3,13.7,3.9,48.6,X, ,X,낮음
2019-05-07,거제(294),X,19.7,21.6,15.4,9.3,53.9,X, ,X,낮음
2019-05-07,남해(295),X,20,21.6,15.6,10,51.5,X, ,X,낮음
2019-05-07,부천(433),X,,20.9,14.2,8.3,,X, ,X,낮음
2019-05-07,안양(434),X,,19.5,13.7,8.1,,X, ,X,낮음
2019-05-07,광명(437),X,,21.6,15,9.5,,X, ,X,낮음
2019-05-07,군포(438),X,,21.7,14.8,8.7,,X, ,X,낮음
2019-05-07,김포(441),X,,20.3,12.8,4.9,,X, ,X,낮음
2019-05-07,하남(444),X,,,14.3,,,X, ,X,낮음
2019-05-07,의왕(445),X,,20.6,12.1,4.1,,X, ,X,낮음
2019-05-07,포천(504),X,19.6,22.5,13.6,3.1,41,X, ,X,낮음
2019-05-07,가평조종(505),X,,22,12.4,1,,X, ,X,낮음
2019-05-07,안성(516),X,20.3,22.7,14,4.5,49,X, ,X,낮음
2019-05-07,간성(517),X,21,24.5,18,5,27,X, ,X,낮음
2019-05-07,평창(526),X,18.1,20.6,11.7,0.9,41,X, ,X,낮음
2019-05-07,의정부(532),X,20.4,22.4,13.9,4.2,46,X, ,X,낮음
2019-05-07,횡성(536),X,21.2,23.5,12.9,1.5,51,X, ,X,낮음
2019-05-07,고양(540),X,21.9,24.3,14,3.8,47,X, ,X,낮음
2019-05-07,남양주(541),X,20.9,24,14.7,5,41,X, ,X,낮음
2019-05-07,안산(545),X,19.9,21.8,12,2.6,61,X, ,X,낮음
2019-05-07,경기광주(546),X,19.5,22.5,13.4,3.5,40,X, ,X,낮음
2019-05-07,여주(548),X,20.7,23.4,13.5,3.8,46,X, ,X,낮음
2019-05-07,용인(549),X,18.5,21.7,13.3,4.1,46,X, ,X,낮음
2019-05-07,오산(550),X,19.2,22.5,14,5.6,39,X, ,X,낮음
2019-05-07,평택(551),X,20,22.6,14.1,5.3,44,X, ,X,낮음
2019-05-07,화천(555),X,21.1,24.3,13.7,1.5,47,X, ,X,낮음
2019-05-07,양구(556),X,19.6,22.9,13.2,1.1,43,X, ,X,낮음
2019-05-07,시흥(565),X,19,20.7,13.1,3.8,55,X, ,X,낮음
2019-05-07,구리(569),X,20.4,23,14.9,5.5,41,X, ,X,낮음
2019-05-07,화성(571),X,18.6,21.1,13.4,5.7,46,X, ,X,낮음
2019-05-07,성남(572),X,20.1,22.5,14.2,5.6,43,X, ,X,매우높음
2019-05-07,과천(590),X,19.5,22.1,13.4,3.4,41,X, ,X,낮음
2019-05-07,양주(598),X,19.7,22,13.1,2.7,46,X, ,X,낮음
2019-05-07,단양(601),X,19.5,22.4,13.9,4.5,49,X, ,X,낮음
2019-05-07,진천(602),X,18.9,22.4,13.9,3.6,36,X, ,X,낮음
2019-05-07,괴산(603),X,19,22.2,12.3,1,48,X, ,X,낮음
2019-05-07,옥천(604),X,20.1,22.2,12.8,2.3,54,X, ,X,낮음
2019-05-07,홍북(608),X,22.1,23.2,12.5,2.8,55,X, ,X,낮음
2019-05-07,공주(612),X,20.6,23.3,13.1,2.5,45,X, ,X,낮음
2019-05-07,서천(614),X,19.2,19,11.2,2.7,68,X, ,X,낮음
2019-05-07,논산(615),X,20.8,23.2,13.2,3.3,55,X, ,X,낮음
2019-05-07,당진(616),X,19.6,21.8,13.7,5.2,49,X, ,X,낮음
2019-05-07,청양(618),X,19.8,21.5,10.8,0.2,55,X, ,X,낮음
2019-05-07,음성(619),X,19.5,22.7,12.3,0.9,49,X, ,X,낮음
2019-05-07,증평(623),X,19.5,22.3,13.7,3.4,44,X, ,X,낮음
2019-05-07,태안(627),X,18.5,18.6,12.2,5.5,66,X, ,X,낮음
2019-05-07,예산(628),X,20.2,22.5,14.2,4.9,41,X, ,X,낮음
2019-05-07,아산(634),X,20.2,22.9,13.7,4.9,43,X, ,X,낮음
2019-05-07,계룡(636),X,20.5,22.8,10.7,-1.2,54,X, ,X,낮음
2019-05-07,연천청산(652),X,20.6,23.1,13.3,2.6,48,X, ,X,낮음
2019-05-07,양양(670),X,21.4,24.6,18.4,7.2,27,X, ,X,낮음
2019-05-07,무안(699),X,19.3,21,12.1,3.8,60,X, ,X,낮음
2019-05-07,무주(701),X,19.4,21.8,11.5,0.8,58,X, ,X,낮음
2019-05-07,익산(702),X,21,22.3,12.2,2.1,65,X, ,X,낮음
2019-05-07,진안(703),X,17.7,19.7,10.1,0,57,X, ,X,낮음
2019-05-07,담양(706),X,20.3,22.5,12.9,1.4,56,X, ,X,낮음
2019-05-07,구례(709),X,19.8,22.8,12.6,1.7,45,X, ,X,낮음
2019-05-07,나주(710),X,20.3,22.6,11.8,0.8,65,X, ,X,낮음
2019-05-07,순천시(712),X,21.1,22.4,15.6,8.6,45,X, ,X,낮음
2019-05-07,광양읍(713),X,21.3,23.4,14.9,7.4,51,X, ,X,낮음
2019-05-07,장성(730),X,19.3,21.7,12.2,2.6,52,X, ,X,낮음
2019-05-07,영암(731),X,19.7,21.9,11.6,1.3,61,X, ,X,낮음
2019-05-07,보성(732),X,19.1,21.3,11.4,1.3,57,X, ,X,낮음
2019-05-07,완주(734),X,20.5,22.4,11.6,2.1,54,X, ,X,낮음
2019-05-07,김제(737),X,19.8,21.2,12.8,5.7,56,X, ,X,낮음
2019-05-07,화순(741),X,18.4,22.2,12.5,1.9,40,X, ,X,낮음
2019-05-07,함평(754),X,20.5,22.9,12.8,2.3,57,X, ,X,낮음
2019-05-07,곡성(768),X,19.3,22.4,12,1.1,46,X, ,X,낮음
2019-05-07,압해도(789),X,19.8,19.9,12.9,7,72,X, ,X,낮음
2019-05-07,영양(801),X,18.6,21,11.3,0.7,53,X, ,X,낮음
2019-05-07,성주(810),X,19.2,22.6,13.6,4.8,47,X, ,X,낮음
2019-05-07,고령(812),X,19.8,23,13.2,3.9,57,X, ,X,낮음
2019-05-07,청도(813),X,18.5,22.2,13.6,5.1,45,X, ,X,낮음
2019-05-07,예천(815),X,20,22.1,12.3,3.2,62,X, ,X,낮음
2019-05-07,김천(822),X,20,22.1,11.9,1,55,X, ,X,낮음
2019-05-07,군위(823),X,20.7,22.8,13,3.2,58,X, ,X,낮음
2019-05-07,칠곡(825),X,20.6,23.7,14.4,5.6,48,X, ,X,낮음
2019-05-07,경산(827),X,19.6,22.4,14.9,6.3,46,X, ,X,낮음
2019-05-07,삼척(876),X,19.1,22,17,7.7,26,X, ,X,낮음
2019-05-07,속초(90),X,21,25,19.1,7.7,20.3,X, ,X,낮음
2019-05-07,삼천포(907),X,20,20.2,14.6,9.5,57,X, ,X,낮음
2019-05-07,고성(918),X,19.9,20.9,13.9,7.8,67,X, ,X,낮음
2019-05-07,창녕(919),X,20.3,23.3,15.1,6,48,X, ,X,낮음
2019-05-07,함안(920),X,20.7,23.3,14.5,7.7,60,X, ,X,낮음
2019-05-07,북춘천(93),X,20.3,23.7,13.7,2.6,41.4,X, ,X,높음
2019-05-07,하동(932),X,20.9,22.9,15.2,7.3,52,X, ,X,낮음
2019-05-07,철원(95),X,19.6,21.9,13.2,2.8,46.9,X, ,X,낮음
2019-05-07,동두천(98),X,21.1,23.4,14.1,4.5,42.6,X, ,X,낮음
2019-05-07,파주(99),X,20.9,22.3,12.8,1.8,57,X, ,X,낮음
2019-05-08,북강릉(104),X,22,25.8,20.7,15.1,19.5,X, ,X,매우높음
2019-05-08,동해(106),X,21.5,25,20.3,16,21.1,X, ,X,낮음
2019-05-08,서울(108),X,20.2,21.3,15.6,10.1,48.3,X, ,X,매우높음
2019-05-08,인천(112),X,17.9,17.2,13.8,10.8,67,X, ,X,매우높음
2019-05-08,원주(114),X,20.5,22.8,15.9,7.3,39.5,X, ,X,낮음
2019-05-08,울릉도(115),X,21,21.3,17.2,13,35.4,X, ,X,낮음
2019-05-08,수원(119),X,22.4,22.7,14.7,7.4,57.9,X, ,X,낮음
2019-05-08,영월(121),X,20,22.4,15.4,4.4,42.3,X, ,X,낮음
2019-05-08,충주(127),X,21.3,23.4,15,3.7,43.6,X, ,X,낮음
2019-05-08,서산(129),X,19.5,19.7,13.5,6.2,65.8,X, ,X,매우높음
2019-05-08,울진(130),X,23.6,26.8,20.1,14.4,23.4,X, ,X,낮음
2019-05-08,청주(131),X,21.8,23.7,16.5,9.3,39.3,X, ,X,매우높음
2019-05-08,대전(133),X,21.3,23.1,15.9,7.4,42.6,X, ,X,매우높음
2019-05-08,추풍령(135),X,19.3,22.3,15.4,4.9,26.8,X, ,X,낮음
2019-05-08,안동(136),X,21.1,23.4,16,5,38.9,X, ,X,매우높음
2019-05-08,상주(137),X,21.8,24.1,16.9,8.5,31.1,X, ,X,낮음
2019-05-08,포항(138),X,21.9,25.2,19.5,13.4,25,X, ,X,낮음
2019-05-08,군산(140),X,19.3,20.3,14.1,6.8,52.5,X, ,X,낮음
2019-05-08,대구(143),X,21.4,24.8,17.8,8.4,31.5,X, ,X,매우높음
2019-05-08,전주(146),X,20.3,22.3,14.8,7.2,41.1,X, ,X,높음
2019-05-08,울산(152),X,21.4,24.7,18.4,10.5,30.9,X, ,X,매우높음
2019-05-08,창원(155),X,20.3,22.3,15.9,9,44.1,X, ,X,매우높음
2019-05-08,광주(156),X,19.7,22.3,15.3,7.4,36.9,X, ,X,매우높음
2019-05-08,부산(159),X,20.3,21.6,17.3,12.9,36,X, ,X,매우높음
2019-05-08,통영(162),X,19.6,20.2,15.5,9.9,57,X, ,X,낮음
2019-05-08,목포(165),X,18.7,20.7,15,8.6,45.5,X, ,X,매우높음
2019-05-08,여수(168),X,19.8,20.7,16.3,11.2,45.1,X, ,X,낮음
2019-05-08,흑산도(169),X,18.5,18.5,14.5,10.9,41.4,X, ,X,낮음
2019-05-08,완도(170),X,21.4,23.5,16.8,9.1,32.4,X, ,X,낮음
2019-05-08,고창(172),X,18.7,21,13.3,4.4,49.1,X, ,X,낮음
2019-05-08,제주(184),X,19.4,19.6,16.3,11.9,42.5,X, ,X,매우높음
2019-05-08,진주(192),X,21.8,22.9,14.7,4.7,59.6,X, ,X,낮음
2019-05-08,양평(202),X,21.5,23.7,15.1,5.2,46.6,X, ,X,낮음
2019-05-08,이천(203),X,21.4,23.5,15.1,5.1,46,X, ,X,낮음
2019-05-08,인제(211),X,20,22,15.4,4.9,40.6,X, ,X,낮음
2019-05-08,홍천(212),X,21.9,24,15.6,4.9,45.6,X, ,X,낮음
2019-05-08,태백(216),X,17.8,20.3,14.9,9,26,X, ,X,낮음
2019-05-08,정선군(217),X,20.4,23.4,15.1,4.1,36.9,X, ,X,낮음
2019-05-08,제천(221),X,20.3,22.9,14.2,2.3,39.9,X, ,X,낮음
2019-05-08,보은(226),X,21.3,23.3,13.8,2.6,48.8,X, ,X,낮음
2019-05-08,천안(232),X,19.7,21.4,13.2,2.3,49,X, ,X,낮음
2019-05-08,보령(235),X,17.8,18.1,12.9,6.1,61.1,X, ,X,낮음
2019-05-08,부여(236),X,20.3,22.3,13.6,4.2,56.8,X, ,X,낮음
2019-05-08,금산(238),X,19.4,22.1,13.4,2.5,42,X, ,X,낮음
2019-05-08,세종(239),X,,,,,,X, ,X,매우높음
2019-05-08,부안(243),X,19.3,22.5,14.7,7.5,42.5,X, ,X,낮음
2019-05-08,임실(244),X,18.9,21.9,12.2,0.9,43.9,X, ,X,낮음
2019-05-08,정읍(245),X,18,21.3,13.8,5.7,33.8,X, ,X,낮음
2019-05-08,남원(247),X,19.5,22.1,13.4,3.8,38.9,X, ,X,낮음
2019-05-08,장수(248),X,17.3,19.5,11.4,1.2,45.4,X, ,X,낮음
2019-05-08,영광군(252),X,18.7,21.2,13.6,4.3,46.3,X, ,X,낮음
2019-05-08,김해시(253),X,22,24.5,16.9,9.7,46,X, ,X,낮음
2019-05-08,순창군(254),X,19.5,22.1,12.8,3,48.3,X, ,X,낮음
2019-05-08,양산시(257),X,22.7,25,16.5,7.5,48.8,X, ,X,낮음
2019-05-08,강진군(259),X,20.3,23.4,15.2,4.9,37.8,X, ,X,낮음
2019-05-08,장흥(260),X,20.9,23.7,14.7,2.5,45.1,X, ,X,낮음
2019-05-08,해남(261),X,19.5,21.8,13.1,1.1,49.9,X, ,X,낮음
2019-05-08,고흥(262),X,20.4,22.3,14.3,4.2,46,X, ,X,낮음
2019-05-08,의령군(263),X,23.3,25,15.1,4.5,51.6,X, ,X,낮음
2019-05-08,함양군(264),X,20.6,22.6,13.8,2.2,48.8,X, ,X,낮음
2019-05-08,진도군ASOS(268),X,19,21.2,13.9,4.5,47.9,X, ,X,낮음
2019-05-08,봉화(271),X,19.4,22.8,14.3,2.3,36.8,X, ,X,낮음
2019-05-08,영주(272),X,20,22.5,16.3,7.1,31.6,X, ,X,낮음
2019-05-08,문경(273),X,21.6,23.6,15.8,6.7,37.1,X, ,X,낮음
2019-05-08,청송군(276),X,20.7,22.7,14.7,1.8,47.9,X, ,X,낮음
2019-05-08,영덕(277),X,21.7,24.3,18.9,13.9,24.1,X, ,X,낮음
2019-05-08,의성(278),X,21.4,25.3,15.1,1.9,40.4,X, ,X,낮음
2019-05-08,구미(279),X,21.2,24.6,16.8,7.2,35.6,X, ,X,낮음
2019-05-08,영천(281),X,21.3,25.4,16.5,5,34.1,X, ,X,낮음
2019-05-08,경주시(283),X,22.2,24.9,16.7,5.9,48.5,X, ,X,낮음
2019-05-08,거창(284),X,20.5,23.1,13.9,2.4,41.8,X, ,X,낮음
2019-05-08,합천(285),X,21.7,25.1,15.9,4.8,41.9,X, ,X,낮음
2019-05-08,밀양(288),X,21,24.2,15.9,6,48.6,X, ,X,낮음
2019-05-08,산청(289),X,20.7,23.5,15.3,4.3,39.5,X, ,X,낮음
2019-05-08,거제(294),X,21.3,23.1,16.2,8.5,44.9,X, ,X,낮음
2019-05-08,남해(295),X,21,23.5,16.5,9.4,42.9,X, ,X,낮음
2019-05-08,부천(433),X,,20.1,14.9,10.2,,X, ,X,낮음
2019-05-08,안양(434),X,,19.7,14.3,10.3,56,X, ,X,낮음
2019-05-08,광명(437),X,,20.4,15.5,11.6,,X, ,X,낮음
2019-05-08,군포(438),X,,21.8,15.2,9.6,,X, ,X,낮음
2019-05-08,김포(441),X,,19.3,13.6,7.5,,X, ,X,낮음
2019-05-08,하남(444),X,,,15.5,,,X, ,X,낮음
2019-05-08,의왕(445),X,,20.1,13,6.4,,X, ,X,낮음
2019-05-08,포천(504),X,21,22.6,14.7,5.3,51,X, ,X,낮음
2019-05-08,가평조종(505),X,,23.2,13.7,2.6,,X, ,X,낮음
2019-05-08,안성(516),X,21.8,22.9,15,5.3,55,X, ,X,낮음
2019-05-08,간성(517),X,22.9,26.1,21.2,16.1,24,X, ,X,낮음
2019-05-08,평창(526),X,20,23.1,13.5,2.7,44,X, ,X,낮음
2019-05-08,의정부(532),X,22.1,22.8,15.1,7.5,56,X, ,X,낮음
2019-05-08,횡성(536),X,22.6,23.8,14.6,2.6,56,X, ,X,낮음
2019-05-08,고양(540),X,23.1,24,15.1,7.9,59,X, ,X,낮음
2019-05-08,남양주(541),X,22.3,23.5,15.7,6.6,50,X, ,X,낮음
2019-05-08,안산(545),X,21.5,21.5,12.8,3.1,72,X, ,X,낮음
2019-05-08,경기광주(546),X,21.1,22.7,14.4,5.3,46,X, ,X,낮음
2019-05-08,여주(548),X,22.3,23.9,14.7,5.1,48,X, ,X,낮음
2019-05-08,용인(549),X,21.4,22.7,14.3,4.8,52,X, ,X,낮음
2019-05-08,오산(550),X,21.5,23,15.1,7.1,43,X, ,X,낮음
2019-05-08,평택(551),X,21.5,22.6,15.2,6.7,51,X, ,X,낮음
2019-05-08,화천(555),X,23,25.3,15.5,3.9,50,X, ,X,낮음
2019-05-08,양구(556),X,21.9,24.3,15.2,3.8,45,X, ,X,낮음
2019-05-08,시흥(565),X,20.1,20.7,14.2,5.6,63,X, ,X,낮음
2019-05-08,구리(569),X,21.6,22.9,15.9,7.5,47,X, ,X,낮음
2019-05-08,화성(571),X,20.5,21.4,14.5,8.9,52,X, ,X,낮음
2019-05-08,성남(572),X,21.3,22.5,15.6,8.4,49,X, ,X,매우높음
2019-05-08,과천(590),X,21.5,22.9,14.9,7.1,49,X, ,X,낮음
2019-05-08,양주(598),X,21.2,22.2,14,4.6,59,X, ,X,낮음
2019-05-08,단양(601),X,21.3,23.4,15.7,5.4,50,X, ,X,낮음
2019-05-08,진천(602),X,21.3,23.9,15.2,4.4,39,X, ,X,낮음
2019-05-08,괴산(603),X,21.6,23.9,14.2,1.7,47,X, ,X,낮음
2019-05-08,옥천(604),X,20.3,22.1,14.1,4,50,X, ,X,낮음
2019-05-08,홍북(608),X,22.3,23,14,6.9,63,X, ,X,낮음
2019-05-08,공주(612),X,21.7,23.7,14.8,4.9,48,X, ,X,낮음
2019-05-08,서천(614),X,19.2,20,13.1,4.9,63,X, ,X,낮음
2019-05-08,논산(615),X,20.5,23,14,4.7,55,X, ,X,낮음
2019-05-08,당진(616),X,21.3,21.8,14.8,9.5,59,X, ,X,낮음
2019-05-08,청양(618),X,19.6,21,12.3,1.6,62,X, ,X,낮음
2019-05-08,음성(619),X,21.8,23.8,14.1,1.6,50,X, ,X,낮음
2019-05-08,증평(623),X,21.4,23.2,15.3,5,46,X, ,X,낮음
2019-05-08,태안(627),X,18.9,18.1,13.2,7.8,75,X, ,X,낮음
2019-05-08,예산(628),X,20.7,21.5,15.1,8.4,51,X, ,X,낮음
2019-05-08,아산(634),X,22.6,24.4,15.8,8.5,43,X, ,X,낮음
2019-05-08,계룡(636),X,20.2,21.9,12.4,0.5,53,X, ,X,낮음
2019-05-08,연천청산(652),X,22,23.5,14.8,5.3,57,X, ,X,낮음
2019-05-08,양양(670),X,23.4,26.1,20.6,15,30,X, ,X,낮음
2019-05-08,무안(699),X,19.9,21.2,13.5,4.8,53,X, ,X,낮음
2019-05-08,무주(701),X,20.3,22.7,13.3,1.8,51,X, ,X,낮음
2019-05-08,익산(702),X,20.4,22.2,13.3,4,62,X, ,X,낮음
2019-05-08,진안(703),X,17.6,19.7,11.5,1.1,45,X, ,X,낮음
2019-05-08,담양(706),X,20.8,22.9,13.7,2.5,50,X, ,X,낮음
2019-05-08,구례(709),X,19.6,22.3,13.3,1.8,42,X, ,X,낮음
2019-05-08,나주(710),X,20.7,22.6,13.6,2.9,60,X, ,X,낮음
2019-05-08,순천시(712),X,21.7,24,17.9,9.9,31,X, ,X,낮음
2019-05-08,광양읍(713),X,21.7,24.7,16.5,5.7,39,X, ,X,낮음
2019-05-08,장성(730),X,19.3,21.5,12.8,3.1,49,X, ,X,낮음
2019-05-08,영암(731),X,20.6,22,13.2,2.7,56,X, ,X,낮음
2019-05-08,보성(732),X,20.3,22.4,13.5,1.8,47,X, ,X,낮음
2019-05-08,완주(734),X,19.5,22,13,3.5,45,X, ,X,낮음
2019-05-08,김제(737),X,19.2,21.2,14.4,8.3,41,X, ,X,낮음
2019-05-08,화순(741),X,19.6,21.9,13.7,3.6,39,X, ,X,낮음
2019-05-08,함평(754),X,20.5,22.1,13.8,4.2,50,X, ,X,낮음
2019-05-08,곡성(768),X,20.2,22.9,12.8,2.1,43,X, ,X,낮음
2019-05-08,압해도(789),X,19.5,20.9,14.6,7.5,56,X, ,X,낮음
2019-05-08,영양(801),X,20,22.3,14.4,2.2,43,X, ,X,낮음
2019-05-08,성주(810),X,21.3,25,15.4,4.5,37,X, ,X,낮음
2019-05-08,고령(812),X,21.2,24.3,14.7,3.3,52,X, ,X,낮음
2019-05-08,청도(813),X,20.3,24,15.4,3.8,44,X, ,X,낮음
2019-05-08,예천(815),X,21.6,23.5,15.2,4.1,51,X, ,X,낮음
2019-05-08,김천(822),X,21.5,24.3,14.1,1.3,47,X, ,X,낮음
2019-05-08,군위(823),X,23,25.1,15.3,2.9,48,X, ,X,낮음
2019-05-08,칠곡(825),X,21.9,25.6,16.1,5.3,40,X, ,X,낮음
2019-05-08,경산(827),X,21.5,24.6,17.6,8.1,33,X, ,X,낮음
2019-05-08,삼척(876),X,23,26.6,20.7,15.7,19,X, ,X,낮음
2019-05-08,속초(90),X,22.8,25.9,21.5,17.3,22.8,X, ,X,낮음
2019-05-08,삼천포(907),X,20.2,21.8,15.5,9,52,X, ,X,낮음
2019-05-08,고성(918),X,20.8,21.5,14.4,5.8,64,X, ,X,낮음
2019-05-08,창녕(919),X,22.3,25.6,16.1,5,47,X, ,X,낮음
2019-05-08,함안(920),X,21.7,24.3,15.3,4.3,53,X, ,X,낮음
2019-05-08,북춘천(93),X,21.5,23.8,15.6,4.8,43.6,X, ,X,매우높음
2019-05-08,하동(932),X,21.8,24.3,15.8,6,49,X, ,X,낮음
2019-05-08,철원(95),X,20.9,22.5,14.9,4.9,53.8,X, ,X,낮음
2019-05-08,동두천(98),X,22.3,23.5,15,7,56.3,X, ,X,낮음
2019-05-08,파주(99),X,21.5,21.4,14.4,8.1,64.6,X, ,X,낮음
2019-05-09,북강릉(104),X,24.1,27.4,21.7,16.2,21.1,X, ,X,높음
2019-05-09,동해(106),X,23,26.1,21.1,17.1,24.8,X, ,X,낮음
2019-05-09,서울(108),X,20.5,22.9,16.6,11.7,43.3,X, ,X,높음
2019-05-09,인천(112),X,17.8,17.9,14.1,11.7,65.1,X, ,X,높음
2019-05-09,원주(114),X,20.7,23.8,16.9,12,39,X, ,X,낮음
2019-05-09,울릉도(115),X,21.2,22.9,19.7,16.2,28.1,X, ,X,낮음
2019-05-09,수원(119),X,21,23,15.7,10.4,56.3,X, ,X,낮음
2019-05-09,영월(121),X,21.6,23.6,16.3,9.2,44.9,X, ,X,낮음
2019-05-09,충주(127),X,21.1,23.6,15.6,8.6,43.8,X, ,X,낮음
2019-05-09,서산(129),X,20.3,21.3,14.4,8.4,63.6,X, ,X,높음
2019-05-09,울진(130),X,23.9,26.9,20.8,16.2,30.9,X, ,X,낮음
2019-05-09,청주(131),X,21.6,24.3,17.9,12.6,38.4,X, ,X,높음
2019-05-09,대전(133),X,22.1,24.7,17.7,10.9,44.3,X, ,X,높음
2019-05-09,추풍령(135),X,20.1,22.5,16.7,9.6,30.6,X, ,X,낮음
2019-05-09,안동(136),X,21.9,24.3,17.7,12.1,36.5,X, ,X,높음
2019-05-09,상주(137),X,23,25.5,18.1,12.6,36.3,X, ,X,낮음
2019-05-09,포항(138),X,23.2,26.2,21,16,26.4,X, ,X,낮음
2019-05-09,군산(140),X,19.3,20.2,14.4,9.1,56.4,X, ,X,낮음
2019-05-09,대구(143),X,22.2,26,20.1,14.2,24.9,X, ,X,높음
2019-05-09,전주(146),X,21.5,22.8,16.1,10.3,45.3,X, ,X,높음
2019-05-09,울산(152),X,22.3,25.7,19.6,15.1,28.1,X, ,X,높음
2019-05-09,창원(155),X,22.8,25.8,17.7,12.6,36.6,X, ,X,높음
2019-05-09,광주(156),X,22.3,25.3,17.3,10.8,32.3,X, ,X,높음
2019-05-09,부산(159),X,21.1,22.9,18.6,16,37.4,X, ,X,높음
2019-05-09,통영(162),X,21.3,23,16.9,12.7,54.8,X, ,X,낮음
2019-05-09,목포(165),X,19.4,21.5,15.9,12.2,45.3,X, ,X,높음
2019-05-09,여수(168),X,21,22.1,17.7,14.2,39,X, ,X,낮음
2019-05-09,흑산도(169),X,19.1,20.1,15.4,12,44.4,X, ,X,낮음
2019-05-09,완도(170),X,22.3,24.7,17.8,13.1,30.8,X, ,X,낮음
2019-05-09,고창(172),X,19.9,21.8,,7.6,,X, ,X,낮음
2019-05-09,제주(184),X,20.3,20.3,17.4,14.7,43.3,X, ,X,높음
2019-05-09,진주(192),X,23.1,24.8,16.2,8.3,54.9,X, ,X,낮음
2019-05-09,양평(202),X,20.7,24,16.6,10,43.9,X, ,X,낮음
2019-05-09,이천(203),X,21,24.6,16.7,10,39.4,X, ,X,낮음
2019-05-09,인제(211),X,21.3,23.6,16.6,9.5,43.1,X, ,X,낮음
2019-05-09,홍천(212),X,22.5,25,16.8,9.3,47,X, ,X,낮음
2019-05-09,태백(216),X,19.8,21.9,15.7,10.3,31.1,X, ,X,낮음
2019-05-09,정선군(217),X,21.5,24.2,16.3,9.9,39,X, ,X,낮음
2019-05-09,제천(221),X,20.7,23.6,14.8,7.6,46.5,X, ,X,낮음
2019-05-09,보은(226),X,21.1,23.7,15.5,8.4,48.9,X, ,X,낮음
2019-05-09,천안(232),X,20.2,22.4,14.8,8.7,46.5,X, ,X,낮음
2019-05-09,보령(235),X,19.3,20.4,13.9,8.5,57.5,X, ,X,낮음
2019-05-09,부여(236),X,21.7,24.5,15.1,7.6,55.4,X, ,X,낮음
2019-05-09,금산(238),X,21.4,23.6,14.9,6.2,44.6,X, ,X,낮음
2019-05-09,세종(239),X,,,,,,X, ,X,높음
2019-05-09,부안(243),X,19.3,21.3,14.7,9,47.5,X, ,X,낮음
2019-05-09,임실(244),X,20.8,23.8,13.8,6.5,47.9,X, ,X,낮음
2019-05-09,정읍(245),X,19.6,22,14.9,8.6,40.1,X, ,X,낮음
2019-05-09,남원(247),X,21.3,24.4,15.5,7.9,38.5,X, ,X,낮음
2019-05-09,장수(248),X,20.2,22.7,13.6,5.8,47.1,X, ,X,낮음
2019-05-09,영광군(252),X,18.9,20.9,14.2,8.6,51.5,X, ,X,낮음
2019-05-09,김해시(253),X,24.2,27,19.7,14.3,38.3,X, ,X,낮음
2019-05-09,순창군(254),X,21,23.9,15.1,7,44.5,X, ,X,낮음
2019-05-09,양산시(257),X,24.2,26.9,18.8,13,44,X, ,X,낮음
2019-05-09,강진군(259),X,22.2,24.9,16.3,9.4,35.5,X, ,X,낮음
2019-05-09,장흥(260),X,22.4,25.3,16,8.5,45,X, ,X,낮음
